,property_type
1676,apartment
1677,apartment
1678,apartment
1679,apartment
1680,apartment
1681,apartment
1682,apartment
1683,apartment
1684,apartment
1685,apartment
1686,apartment
1687,apartment
1688,apartment
1689,apartment
1690,apartment
1691,apartment
1692,apartment
1693,apartment
1694,apartment
1695,apartment
1696,apartment
1697,house
1698,house
1699,apartment
1700,apartment
1701,apartment
1702,apartment
1703,apartment
1704,apartment
1705,apartment
1706,house
1707,apartment
1708,apartment
1709,apartment
1710,apartment
1711,apartment
1712,apartment
1713,apartment
1714,apartment
1715,apartment
1716,apartment
1717,apartment
1718,apartment
1719,apartment
1720,apartment
1721,apartment
1722,apartment
1723,apartment
1724,apartment
1725,apartment
1726,apartment
1727,apartment
1728,apartment
1729,apartment
1730,apartment
1731,apartment
1732,apartment
1733,apartment
1734,apartment
1735,house
1736,apartment
1737,apartment
1738,apartment
1739,apartment
1740,apartment
1741,apartment
1742,apartment
1743,house
1744,apartment
1745,apartment
1746,apartment
1747,apartment
1748,apartment
1749,apartment
1750,apartment
1751,apartment
1752,apartment
1753,apartment
1754,apartment
1755,apartment
1756,apartment
1757,apartment
1758,house
1759,apartment
1760,apartment
1761,apartment
1762,apartment
1763,apartment
1764,apartment
1765,apartment
1766,house
1767,house
1768,apartment
1769,apartment
1770,house
1771,apartment
1772,apartment
1773,apartment
1774,apartment
1775,apartment
1776,apartment
1777,apartment
1778,apartment
1779,apartment
1780,apartment
1781,apartment
1782,apartment
1783,apartment
1784,apartment
1785,apartment
1786,apartment
1787,apartment
1788,apartment
1789,apartment
1790,apartment
1791,apartment
1792,apartment
1793,apartment
1794,apartment
1795,apartment
1796,apartment
1797,apartment
1798,apartment
1799,apartment
1800,apartment
1801,house
1802,apartment
1803,apartment
1804,apartment
1805,apartment
1806,apartment
1807,apartment
1808,apartment
1809,apartment
1810,apartment
1811,apartment
1812,apartment
1813,apartment
1814,apartment
1815,apartment
1816,apartment
1817,apartment
1818,apartment
1819,apartment
1820,apartment
1821,apartment
1822,apartment
