,place_with_parent_names
347,|Brasil|Bahia|Salvador|Paralela|
348,|Brasil|Bahia|Salvador|
349,|Brasil|Bahia|Salvador|Vila Laura|
350,|Brasil|Bahia|Salvador|Parque Bela Vista|
351,|Brasil|Bahia|Salvador|Parque Bela Vista|
352,|Brasil|Bahia|Salvador|Patamares|
353,|Brasil|Bahia|Salvador|Patamares|
354,|Brasil|Bahia|Salvador|
355,|Brasil|Bahia|Salvador|
356,|Brasil|Bahia|Salvador|
357,|Brasil|Bahia|Salvador|
358,|Brasil|Bahia|Salvador|Pituba|
359,|Brasil|Bahia|Salvador|Vitória|
360,|Brasil|Bahia|Lauro de Freitas|
361,|Brasil|Bahia|Salvador|Parque Bela Vista|
362,|Brasil|Bahia|Salvador|Rio Vermelho|
363,|Brasil|Bahia|Salvador|Pituaçu|
364,|Brasil|Bahia|Salvador|Armação|
365,|Brasil|Bahia|Salvador|Graça|
366,|Brasil|Bahia|Salvador|Imbuí|
367,|Brasil|Bahia|Salvador|Pituba|
368,|Brasil|Bahia|Salvador|Horto Florestal|
369,|Brasil|Bahia|Salvador|Pituba|
370,|Brasil|Bahia|Salvador|Costa Azul|
371,|Brasil|Bahia|Salvador|Pituba|
372,|Brasil|Bahia|Salvador|Horto Florestal|
373,|Brasil|Bahia|Salvador|Horto Florestal|
374,|Brasil|Bahia|Salvador|Horto Florestal|
375,|Brasil|Bahia|Ilhéus|
376,|Brasil|Bahia|Ilhéus|
377,|Brasil|Bahia|Vitória da Conquista|
378,|Brasil|Bahia|Ilhéus|
379,|Brasil|Bahia|Barreiras|
380,|Brasil|Bahia|Barreiras|
381,|Brasil|Bahia|Salvador|Pernambués|
382,|Brasil|Bahia|Salvador|Imbuí|
383,|Brasil|Bahia|Salvador|Itapuã|
384,|Brasil|Bahia|Barreiras|
385,|Brasil|Bahia|Barreiras|
386,|Brasil|Bahia|Barreiras|
387,|Brasil|Bahia|Porto Seguro|
388,|Brasil|Bahia|Ilhéus|Centro|
389,|Brasil|Bahia|Ilhéus|
390,|Brasil|Bahia|Ilhéus|
391,|Brasil|Bahia|Ilhéus|
392,|Brasil|Bahia|Ilhéus|
393,|Brasil|Bahia|Ilhéus|
394,|Brasil|Bahia|Barreiras|
395,|Brasil|Bahia|Ilhéus|Centro|
396,|Brasil|Bahia|Ilhéus|
397,|Brasil|Bahia|Barreiras|
398,|Brasil|Bahia|Barreiras|
399,|Brasil|Bahia|Ilhéus|
400,|Brasil|Bahia|Ilhéus|
401,|Brasil|Bahia|Barreiras|
402,|Brasil|Bahia|Salvador|Rio Vermelho|
403,|Brasil|Bahia|Salvador|Rio Vermelho|
404,|Brasil|Bahia|Salvador|Paralela|
405,|Brasil|Bahia|Salvador|Pituba|
406,|Brasil|Bahia|Salvador|Pituba|
407,|Brasil|Bahia|Salvador|Garcia|
408,|Brasil|Bahia|Salvador|Rio Vermelho|
409,|Brasil|Bahia|Salvador|Costa Azul|
410,|Brasil|Bahia|Salvador|Caminho das Árvores|
411,|Brasil|Bahia|Salvador|Rio Vermelho|
412,|Brasil|Bahia|Salvador|Acupe de Brotas|
